step,distance_m,throughput_gbps,handover,band
77,181.76529732136578,252.46927619497748,False,220.0
78,184.10243824924737,252.46927619497748,False,220.0
79,186.4437318049087,252.46927619497748,False,220.0
80,188.79606209193906,252.46927619497748,False,220.0
81,191.1489583059929,252.46927619497748,False,220.0
82,193.51468397022833,252.46927619497748,False,220.0
83,195.89268598816827,252.46927619497748,False,220.0
84,198.28831424559007,252.46927619497748,False,220.0
85,200.69503934327167,252.46927619497748,False,220.0
86,203.11265568093756,252.46927619497748,False,220.0
87,205.5461766906696,252.46927619497748,False,220.0
88,207.99364692063267,252.46927619497748,False,220.0
89,210.45651998872438,252.46927619497748,False,220.0
90,212.93767771384154,252.46927619497748,False,220.0
91,215.43419404124828,252.46927619497748,False,220.0
92,217.95460327387562,252.46927619497748,False,220.0
93,220.49551234159833,252.46927619497748,False,220.0
94,223.05731936400642,252.46927619497748,False,220.0
95,225.64661685624475,252.46927619497748,False,220.0
96,228.2546645052241,252.46927619497748,False,220.0
97,230.89750668024598,252.46927619497748,False,220.0
98,233.57464770409248,252.46927619497748,False,220.0
99,236.28798147167518,252.46927619497748,False,220.0
100,143.98558903225026,189.35195714623313,False,100.0
101,144.91460353466567,189.35195714623313,False,100.0
102,145.7534933660914,189.35195714623313,False,100.0
103,146.50198677647475,189.35195714623313,False,100.0
104,147.16003693558937,189.35195714623313,False,100.0
105,147.7279150347234,189.35195714623313,False,100.0
106,148.2058029806665,189.35195714623313,False,100.0
107,148.5935619595841,189.35195714623313,False,100.0
108,148.8910139915532,189.35195714623313,False,100.0
109,149.098084939423,189.35195714623313,False,100.0
110,149.21500920215524,189.35195714623313,False,100.0
111,149.24190289275336,189.35195714623313,False,100.0
112,149.17862275790833,189.35195714623313,False,100.0
113,149.0253105191539,189.35195714623313,False,100.0
114,148.78205069683955,189.35195714623313,False,100.0
115,148.44850185706426,189.35195714623313,False,100.0
116,148.02482663480603,189.35195714623313,False,100.0
117,147.51098810459996,189.35195714623313,False,100.0
118,146.9073691174942,189.35195714623313,False,100.0
119,146.21408962301027,189.35195714623313,False,100.0
120,145.43103282439108,189.35195714623313,False,100.0
121,144.5580070841693,189.35195714623313,False,100.0
122,143.59520330320439,189.35195714623313,False,100.0
123,142.54264309835006,189.35195714623313,False,100.0
124,141.40058205418427,189.35195714623313,False,100.0
125,140.168827838254,189.35195714623313,False,100.0
126,138.84737970808993,189.35195714623313,False,100.0
127,137.43629845912983,189.35195714623313,False,100.0
128,135.93571826454482,189.35195714623313,False,100.0
129,134.3458187991505,189.35195714623313,False,100.0
130,132.66666343243438,189.35195714623313,False,100.0
131,130.89842549461255,189.35195714623313,False,100.0
