step,distance_m,throughput_gbps,handover,band
87,592.8245924007688,189.35195714623313,False,100.0
88,597.9269472109231,189.35195714623313,False,100.0
89,603.0555765532364,189.35195714623313,False,100.0
90,608.2156349636655,189.35195714623313,False,100.0
91,613.4123090045241,177.51918810424303,False,100.0
92,618.6619675250432,189.35195714623313,False,100.0
93,623.9463206069801,189.35195714623313,False,100.0
94,629.2671191455171,189.35195714623313,False,100.0
95,634.6451032914987,189.35195714623313,False,100.0
96,640.0797052094223,189.35195714623313,False,100.0
97,645.5695559876831,189.35195714623313,False,100.0
98,651.1163776518457,189.35195714623313,False,100.0
99,656.7381983625661,189.35195714623313,False,100.0
100,662.4338897472796,189.35195714623313,False,100.0
101,668.2077206858431,189.35195714623313,False,100.0
102,674.0593020919678,189.35195714623313,False,100.0
103,679.988221840052,189.35195714623313,False,100.0
104,685.9962996646846,189.35195714623313,False,100.0
105,692.084471585241,189.35195714623313,False,100.0
106,698.2527580600839,189.35195714623313,False,100.0
107,704.4991404274023,189.35195714623313,False,100.0
108,710.8252955221496,189.35195714623313,False,100.0
109,717.2319075641302,189.35195714623313,False,100.0
110,723.7197507383761,169.47356846094956,False,100.0
111,730.2860504479836,186.03869339395183,False,100.0
112,736.9331610903473,189.35195714623313,False,100.0
113,743.6585083715938,189.35195714623313,False,100.0
114,750.4637146517838,189.35195714623313,False,100.0
115,757.347915715391,189.35195714623313,False,100.0
116,764.313576807784,189.35195714623313,False,100.0
117,771.3597190583497,178.46577309913596,False,100.0
118,778.4854406326773,189.35195714623313,False,100.0
119,785.69232057691,189.35195714623313,False,100.0
120,792.9806476802261,189.35195714623313,False,100.0
121,800.3501920809246,189.35195714623313,False,100.0
122,807.8011221908984,189.35195714623313,False,100.0
123,815.3336521873118,189.35195714623313,False,100.0
124,822.9472844752935,189.35195714623313,False,100.0
125,830.6430432789957,189.35195714623313,False,100.0
126,838.4215105901832,189.35195714623313,False,100.0
127,846.2815309980974,189.35195714623313,False,100.0
128,854.2235132743126,189.35195714623313,False,100.0
129,862.247585376811,179.4123654970664,False,100.0
130,870.3536486153887,189.35195714623313,False,100.0
131,878.5415898452936,189.35195714623313,False,100.0
132,886.8119526681043,189.35195714623313,False,100.0
